gh7,impact,pred_intrinsic
tdr0zv7,76.21995630007284,86.42350980488939
tdr0zve,75.49162418062637,69.35293196763078
tdr0zvf,68.24471959213402,82.15259635375656
tdr17n7,44.19155134741442,64.04419349555435
tdr17nu,55.18936635105608,59.486277032169205
tdr17x3,21.321922796795338,54.23134841109225
tdr1e7h,16.806263656227237,37.946565878636854
tdr1e7s,11.216314639475602,37.776334858326706
tdr1efj,51.747997086671525,85.66534791002502
tdr1efm,78.47778587035688,66.3463476817629
tdr1efy,65.60451565914057,85.7573124774638
tdr1efz,66.04151493080846,69.15209652062035
tdr1egn,58.120903131828115,67.58141908833201
tdr1eyx,84.10415149308085,82.02144854626745
tdr1eyz,95.97596504005827,98.85743933331936
tdr1ez6,58.958485069191546,78.46718691687423
tdr1ez9,70.46613255644574,69.59140243869064
tdr1ezd,58.867443554260745,62.949594487493925
tdr1ezp,92.88055353241079,88.56551571319793
tdr1g5g,35.87035688273853,44.27574333391143
tdr1g9r,64.79424617625638,77.97398459325534
tdr1gcb,53.00436999271668,61.26262827267757
tdr1gq3,7.119446467589221,31.671591478242075
tdr1gsd,54.71595047341587,68.36729389198652
tdr1gse,63.74726875455208,45.00130100257066
tdr1gsu,70.40240349599416,81.51921115639323
tdr1gsv,51.456664238892934,48.5300450634633
tdr1gsx,50.78295702840495,72.33488878990316
tdr1gup,39.73051711580481,68.08701835788642
tdr1gur,53.05899490167516,63.649040826841166
tdr1hjr,32.19227967953387,49.58421902029972
tdr1hjx,25.491624180626367,28.280356496934026
tdr1hrn,30.18936635105608,28.341355889673853
tdr1hrx,47.013838310269485,55.994274111758166
tdr1hxc,54.46103423160962,78.29438935700449
tdr1jsd,25.036416605972324,57.63661386818215
tdr1jxq,49.63583394027676,43.08129346928302
tdr1jxz,61.54406409322652,55.06358684560789
tdr1k84,34.10415149308085,48.231427481044484
tdr1k8d,23.652585579024034,47.00370330406616
tdr1k9m,23.488710852148582,35.11902322229182
tdr1kfn,46.74071376547706,66.55181275348797
tdr1kfp,49.32629278951202,75.12405054297814
tdr1kfq,51.711580480699205,30.862077496843416
tdr1kfr,52.84049526584123,68.55419847299446
tdr1kfx,53.44136926438456,66.97077697814942
tdr1kmc,60.9340859431901,78.92014202270242
