rank,gh7,lat,lon,impact,n,tier3_share,heavy_share,f_main_road,f_junction,gi_z,distinct_devices
1,tdr1zmv,12.996555759412237,77.66938846018412,100.0,87,0.7931034482758621,0.3103448275862069,0.0,0.9540229885057471,3.0629477689554716,11
2,tdr1zqj,12.99718472440759,77.66994432231729,99.98179169701383,94,0.6808510638297872,0.425531914893617,0.05319148936170213,0.9042553191489362,2.950862067684782,15
3,tdr3858,12.93973288841342,77.69557731104813,99.96358339402768,1192,0.9471476510067114,0.07046979865771812,0.05453020134228188,0.7953020134228188,3.3869963679610846,23
6,tdr1zmu,12.996175827620116,77.66845894210168,99.90895848506919,1139,0.6505706760316067,0.16242317822651448,0.001755926251097454,0.17032484635645304,3.0629477689554716,20
7,tdr4pbp,13.008235539011372,77.69471723099761,99.89075018208304,1127,0.2546583850931677,0.024844720496894408,0.0008873114463176575,0.9795918367346939,3.0296553701340603,41
9,tdr1xgx,12.939630164955167,77.69472388702883,99.8543335761107,88,0.20454545454545456,0.056818181818181816,0.011363636363636364,0.48863636363636365,3.093178352285741,20
10,tdr6001,13.008084070967742,77.69682238709677,99.83612527312454,62,0.8870967741935484,0.03225806451612903,0.5,0.06451612903225806,3.200962009005584,8
12,tdr4pbn,13.00830140085837,77.69355554034335,99.79970866715222,233,0.15879828326180256,0.030042918454935622,0.0,0.8540772532188842,2.9073765362789343,29
13,tdr38j7,12.949825590404041,77.69968858434343,99.78150036416606,396,0.6237373737373737,0.2601010101010101,0.0025252525252525255,0.0,1.8651190402307407,12
14,tdr6003,13.010044446555556,77.69730904651851,99.7632920611799,270,0.36666666666666664,0.05185185185185185,0.17037037037037037,0.007407407407407408,2.1699053316528363,37
17,tdr1zwd,13.000437365404988,77.67694617923867,99.70866715222141,1030,0.3912621359223301,0.040776699029126215,0.06796116504854369,0.0,1.965926408489753,26
18,tdr1zmg,12.995703674126748,77.66720008716078,99.69045884923526,78,0.6153846153846154,0.16666666666666666,0.0,0.0,3.042677775260945,11
22,tdr1xfu,12.935381883485944,77.69027731603327,99.6176256372906,352,0.12215909090909091,0.07670454545454546,0.0,0.0,4.676640804261979,24
24,tdr38je,12.950755534860487,77.69984150146493,99.58120903131828,216,0.7268518518518519,0.3333333333333333,0.0,0.0,1.7930694832935998,22
25,tdr38j6,12.949687139622641,77.6992643283019,99.56300072833211,53,0.6037735849056604,0.3018867924528302,0.0,0.0,1.8651190402307407,7
26,tdr38jg,12.952081809093562,77.70004489386608,99.54479242534596,232,0.6594827586206896,0.3620689655172414,0.0,0.0,1.7256320281722302,20
27,tdr1v0p,12.964722410679514,77.57385656364208,99.5265841223598,396,0.31313131313131315,0.03535353535353535,0.30303030303030304,0.0,1.3157750810983933,33
28,tdr1xf6,12.932640992095982,77.68829003224398,99.50837581937363,225,0.3244444444444444,0.057777777777777775,0.0,0.0,2.8395902667345236,24
29,tdr1xfe,12.934088191839336,77.68960222568539,99.49016751638747,100,0.6,0.03,0.0,0.0,4.7664411396161235,17
31,tdr3853,12.938589722923924,77.69727140318987,99.45375091041515,244,0.3401639344262295,0.020491803278688523,0.9508196721311475,0.004098360655737705,3.4313345568454787,34
34,tdr1xgn,12.936760726270863,77.69287072590002,99.39912600145666,147,0.20408163265306123,0.06802721088435375,0.4965986394557823,0.0,0.7796085557253934,28
36,tdr1xf7,12.932918650140323,77.68874186308155,99.36270939548434,294,0.22448979591836735,0.023809523809523808,0.0,0.0,3.727555516323998,32
37,tdr6000,13.008272085742838,77.69571745169887,99.34450109249818,1501,0.33777481678880744,0.010659560293137908,0.07661558960692871,0.955363091272485,3.380562679713874,52
43,tdr1ycj,12.970194699982557,77.64748134321951,99.2352512745812,119,0.2857142857142857,0.025210084033613446,0.13445378151260504,0.8403361344537815,0.5541581669661959,18
44,tdr1zwe,13.000400955672701,77.67772099160082,99.21704297159505,405,0.4888888888888889,0.03209876543209877,0.0,0.0,1.9545705611618442,23
46,tdr38ns,12.956823877606706,77.70128633668277,99.18062636562273,145,0.30344827586206896,0.2620689655172414,0.006896551724137931,0.0,0.6275254672792716,28
47,tdr1upv,13.007255358940398,77.52677085695363,99.16241806263656,151,0.7152317880794702,0.3708609271523179,0.25165562913907286,0.026490066225165563,0.49602242979260186,9
50,tdr1trf,12.963504806043018,77.57754710031718,99.10779315367807,546,0.14285714285714285,0.009157509157509158,0.663003663003663,0.0,3.6294223919749715,38
55,tdr3852,12.938935002043824,77.6964605578594,99.01675163874727,79,0.4050632911392405,0.012658227848101266,0.9493670886075949,0.012658227848101266,3.4504805929546496,19
64,tdr3856,12.938165458474623,77.69866161522188,98.85287691187182,125,0.28,0.064,0.904,0.0,0.37056550897198604,30
70,tdr38j4,12.947968972877314,77.69908294806194,98.74362709395484,71,0.16901408450704225,0.04225352112676056,0.0,0.0,1.426775581941842,11
71,tdr1v6k,12.977203119676213,77.58023222254047,98.72541879096867,803,0.0224159402241594,0.057285180572851806,0.8169364881693649,0.17310087173100872,2.2132745915843373,61
73,tdr1ybv,12.968924273434032,77.64800443556497,98.68900218499635,57,0.17543859649122806,0.03508771929824561,0.7368421052631579,0.0,0.5159048519059711,13
75,tdr1usy,12.990102105333333,77.550613888,98.65258557902403,75,0.26666666666666666,0.02666666666666667,0.04,0.96,0.31064694252506847,19
76,tdr1v67,12.97689850781609,77.57933412758621,98.63437727603788,1305,0.010727969348659003,0.029885057471264367,0.5655172413793104,0.22758620689655173,3.75476304132124,66
77,tdr1smz,12.952280086007255,77.54093319021077,98.61616897305171,427,0.16393442622950818,0.02810304449648712,0.00234192037470726,0.0117096018735363,0.7297280932304496,34
78,tdr1ycm,12.97098869800923,77.64745260228266,98.59796067006556,136,0.4852941176470588,0.022058823529411766,0.5,0.9705882352941176,0.454629784925003,20
79,tdr38hf,12.94687215028284,77.69878686404293,98.5797523670794,57,0.42105263157894735,0.03508771929824561,0.0,0.0,1.0990838100733507,9
80,tdr1xf4,12.93198563932637,77.68788155331049,98.56154406409323,169,0.35502958579881655,0.04142011834319527,0.0,0.0,0.9604106983352712,22
83,tdr4h0j,13.008680823489932,77.52676890872483,98.50691915513474,149,0.35570469798657717,0.06040268456375839,0.2550335570469799,0.0,0.4141285546940659,10
84,tdr1xf1,12.93146452309784,77.68622865695025,98.48871085214857,105,0.1523809523809524,0.02857142857142857,0.0,0.0,1.3200771256492392,23
