gh7,impact,p_hotspot
tdr0zv7,76.21995630007284,0.01803902705299669
tdr0zve,75.49162418062637,0.08732522082411026
tdr0zvf,68.24471959213402,0.050775346421913926
tdr17n7,44.19155134741442,0.009619119039168742
tdr17nu,55.18936635105608,0.012518085949059631
tdr17x3,21.321922796795338,0.0017741434639774835
tdr1e7h,16.806263656227237,0.005275743012726814
tdr1e7s,11.216314639475602,0.0008479244352601024
tdr1efj,51.747997086671525,0.005640853754786273
tdr1efm,78.47778587035688,0.09342305039765736
tdr1efy,65.60451565914057,0.1351231859352053
tdr1efz,66.04151493080846,0.008083614521461568
tdr1egn,58.120903131828115,0.012872097908321046
tdr1eyx,84.10415149308085,0.019053203031840694
tdr1eyz,95.97596504005827,0.9949199908064558
tdr1ez6,58.958485069191546,0.002152964923464835
tdr1ez9,70.46613255644574,0.022070505288593917
tdr1ezd,58.867443554260745,0.023419592053753175
tdr1ezp,92.88055353241079,0.3558820704436883
tdr1g5g,35.87035688273853,0.0011848426734783393
tdr1g9r,64.79424617625638,0.37824961221158754
tdr1gcb,53.00436999271668,0.0002923304679292877
tdr1gq3,7.119446467589221,0.0033292003760877114
tdr1gsd,54.71595047341587,0.00032166870019398986
tdr1gse,63.74726875455208,0.0014891214687148024
tdr1gsu,70.40240349599416,0.16060111579662836
tdr1gsv,51.456664238892934,0.0010448775045538922
tdr1gsx,50.78295702840495,0.07751099886215494
tdr1gup,39.73051711580481,0.00029057766049485725
tdr1gur,53.05899490167516,0.023204782321804972
tdr1hjr,32.19227967953387,0.00486864214999968
tdr1hjx,25.491624180626367,0.0023197627030855533
tdr1hrn,30.18936635105608,0.006880636941577354
tdr1hrx,47.013838310269485,0.004196606726860139
tdr1hxc,54.46103423160962,0.07725836341900881
tdr1jsd,25.036416605972324,0.0004057390160926921
tdr1jxq,49.63583394027676,0.025738621256431202
tdr1jxz,61.54406409322652,0.003850833918503185
tdr1k84,34.10415149308085,0.0027814006498421136
tdr1k8d,23.652585579024034,0.0007122377048503914
tdr1k9m,23.488710852148582,0.006220784886549582
tdr1kfn,46.74071376547706,0.0003582801277518537
tdr1kfp,49.32629278951202,0.5045744872179787
tdr1kfq,51.711580480699205,0.05931138014311954
tdr1kfr,52.84049526584123,0.002057787018978688
tdr1kfx,53.44136926438456,0.05624157056355682
tdr1kmc,60.9340859431901,0.03413465973821511
tdr1kt2,61.14348142753096,0.00029078973647607295
tdr1kte,71.06700655498908,0.1449865744283115
tdr1kwn,89.89439184268026,0.9303289637740637
tdr1kwr,90.38601602330662,0.4904024544276627
tdr1kxb,43.13546977421704,0.10371229530393337
tdr1m55,21.04879825200291,0.0011305323227530284
tdr1m57,32.95702840495266,0.006850442161664683
tdr1m8p,53.27749453750911,0.0005238043034668907
tdr1m9p,23.142753095411507,0.019731775562158965
tdr1mb0,50.68281136198106,0.0005859075015053877
tdr1mc3,3.5142024763292063,0.008824469722232236
tdr1mg1,36.01602330662782,6.554117201769256e-05
tdr1mg3,34.796067006554985,0.00013431168815019147
tdr1mg6,36.10706482155863,0.0011766196087911248
tdr1mjx,34.304442825928625,0.444758325458529
tdr1mnq,59.48652585579024,0.07741745521297487
tdr1mnr,50.34595775673707,0.025588134616066776
tdr1mny,47.57829570284049,0.009011728344576577
tdr1mpp,67.45265841223598,0.003994112391620338
tdr1mpr,78.04078659868901,0.024588266046531217
tdr1mpx,78.71449380917699,0.19072861306117864
tdr1mq6,15.112891478514204,0.0002573872861120773
tdr1mqr,48.59796067006555,0.002327215091112559
tdr1mr6,46.30371449380918,0.010172842512878148
tdr1mr7,45.59359067734887,0.00995210712332808
tdr1mrd,65.91405680990532,0.918970474367603
tdr1mry,17.680262199563003,0.000344581201936441
tdr1ms2,52.38528769118717,0.002019987652655384
tdr1mst,26.474872541879098,0.010577755169055812
tdr1msw,13.7836853605244,0.0005523425203049073
tdr1mt0,42.22505462490896,0.00036568488956046735
tdr1mt2,34.37727603787327,0.0034732078836717806
tdr1mte,34.2680262199563,0.001814080104562101
tdr1mts,42.86234522942462,0.01722556175598242
tdr1mvd,72.12308812818645,0.03924669383579541
tdr1mve,72.63292061179898,0.06254971088261756
tdr1mvf,69.90167516387473,0.00041844880448935136
