gh6,impact_mean,impact_max,n,lat,lon
tdr0zu,46.91369264384559,51.839038601602326,6,12.8115798,77.69420854
tdr0zv,71.75371969618145,76.21995630007284,147,12.819017648516418,77.6886850043334
tdr0zw,70.4539936877883,72.17771303714494,10,12.82548069777778,77.68306140444444
tdr0zx,69.37818645302258,73.85287691187182,22,12.82926995,77.68170669375
tdr0zy,73.82374362709395,80.49890750182082,34,12.822656611695908,77.685912242807
tdr162,23.94391842680262,23.94391842680262,2,12.87840735,77.4453044
tdr167,29.165149308084487,30.872177713037146,3,12.8966853,77.4533692
tdr16e,30.872177713037146,30.872177713037146,1,12.8963282,77.4548149
tdr16m,29.715950473415877,29.715950473415877,1,12.9035725,77.4498397
tdr16u,29.024034959941737,29.024034959941737,2,12.9013385,77.46745385
tdr179,6.04515659140568,6.04515659140568,1,12.8838377,77.5019219
tdr17b,22.104879825200292,22.104879825200292,1,12.8778133,77.517105
tdr17j,42.625637290604516,42.625637290604516,2,12.90589455,77.47567065000001
tdr17n,52.84352998300559,66.62418062636563,91,12.912187818869507,77.48296676478836
tdr17p,48.42194707453265,55.57174071376547,23,12.915875538703068,77.48192838766055
tdr17q,53.769118718135466,53.769118718135466,12,12.913967458333333,77.48684205833334
tdr17r,49.28077203204661,51.89366351056081,2,12.9160046,77.49010365000001
tdr17u,13.27385287691187,13.27385287691187,1,12.9026833,77.5190814
tdr17v,9.70502549162418,15.495265841223599,4,12.904077483333333,77.51164366666666
tdr17x,23.707210487982522,27.804078659868903,43,12.91692000008525,77.50023299215687
tdr17y,10.35748968196164,14.976329206117988,13,12.911922422222224,77.51367682962963
tdr17z,11.644209759650401,12.909686817188637,4,12.916352466666666,77.51417853333334
tdr1db,30.826656955571742,30.826656955571742,1,12.9234668,77.4728372
tdr1e0,13.055353241077931,17.753095411507648,8,12.924360985714285,77.48504554285714
tdr1e1,36.05243991260015,36.05243991260015,1,12.9258225,77.4767094
tdr1e2,35.95912235979607,44.246176256372905,6,12.922842375,77.49501492499999
tdr1e6,22.268754552075748,26.18353969410051,15,12.934292636111113,77.4902692138889
tdr1e7,14.340859431900947,17.78951201747997,60,12.939320129683793,77.4930334580896
tdr1e8,29.465586307356155,29.998179169701384,12,12.92512810909091,77.49888950454545
tdr1e9,27.06664238892935,32.59286234522942,6,12.92764305,77.5018118
tdr1eb,7.706664238892936,20.520757465404223,10,12.921712916666667,77.51505518166667
tdr1ec,45.46067006554989,53.56882738528769,19,12.927230626362626,77.5148498027805
tdr1ed,34.24981791697014,34.24981791697014,1,12.9315757,77.5063069
tdr1ef,63.1351896464788,78.47778587035688,329,12.934435065386586,77.51537269614418
tdr1eg,64.0810876426317,70.02913328477786,47,12.936637303421051,77.51761990526317
tdr1ej,4.888929351784413,7.75673707210488,4,12.951536125,77.47970255
tdr1ek,15.713765477057539,20.830298616168974,31,12.944237785497835,77.49311404621211
tdr1em,12.577385287691186,16.997450837581937,10,12.950476614977637,77.49214215028603
tdr1er,16.114348142753094,16.114348142753094,1,12.958585,77.495605
tdr1et,7.65659140568099,17.643845593590676,19,12.94920366829949,77.50213390197712
tdr1ex,18.894149065307115,30.38965768390386,27,12.960861611111111,77.50407799583333
tdr1ey,88.55426074289876,95.97596504005827,367,12.956892132920625,77.51834038396714
tdr1ez,73.98883224083515,92.88055353241079,502,12.960676414193717,77.51354566764562
tdr1fk,35.32410779315368,38.76547705753824,5,12.988616575,77.44862462500001
tdr1fu,42.798616168973055,46.54042243262928,30,12.988315102992424,77.47337133335228
tdr1g3,7.055717407137655,8.448652585579024,10,12.970014322222223,77.49426685
tdr1g5,24.520514688031074,35.87035688273853,48,12.985338176754405,77.48241757916192
tdr1g6,5.626365622723962,6.026948288419519,3,12.9766975,77.48810209999999
tdr1g7,5.680990531682447,5.680990531682447,1,12.9858377,77.4867645
tdr1g8,12.419200655498907,57.21048798252003,20,12.96732263625,77.503509771875
tdr1g9,41.819919883466866,64.79424617625638,108,12.971322417905983,77.50437537988249
tdr1gb,33.8628914785142,61.762563729060446,19,12.967514581597221,77.50969393611112
tdr1gc,29.59759650400583,65.38601602330662,92,12.972724008984102,77.51146725624564
tdr1gf,26.161193140435675,50.564457392571015,45,12.977474193867243,77.51293765666668
tdr1gg,35.906773488710854,44.86525855790241,7,12.98134406,77.51305008666667
tdr1gh,44.40094683175528,44.992716678805536,7,12.986569374999998,77.4769876
tdr1gk,20.56627822286963,57.52002913328478,24,12.98758842989418,77.49024455443121
tdr1gm,21.86817188638019,21.86817188638019,1,12.9960719,77.4896285
tdr1gn,23.2656591405681,23.752731245447926,2,13.00044755,77.4836845
tdr1gq,13.003004369992716,23.752731245447926,43,12.999609796451614,77.48888123021506
tdr1gr,11.161689730517116,11.161689730517116,4,13.004302675,77.4876964
tdr1gs,59.476511289147844,70.40240349599416,391,12.989697724606483,77.5036888839272
tdr1gt,48.77397426559844,52.530954115076476,7,12.992238258333332,77.50684174166666
tdr1gu,50.80723476571983,59.63219227967953,163,12.987586027804744,77.51591205243399
tdr1hj,32.201383831026945,38.273852876911874,58,12.861115507024154,77.52942684809662
tdr1hm,35.16478514202476,40.677348871085215,7,12.863636825,77.5320472
tdr1hq,39.96115562029619,51.14712308812819,57,12.867636406543209,77.53547786813932
tdr1hr,38.221829154094266,47.013838310269485,66,12.873276862964621,77.53914249193909
tdr1hx,47.3112405923768,54.46103423160962,44,12.874940577925136,77.54255072689382
tdr1jd,19.892571012381644,22.487254187909684,3,12.845160024999998,77.588044175
tdr1je,21.425710123816458,35.03277494537509,20,12.851380394444444,77.5883447311111
tdr1jp,3.729667394998786,5.835761107064822,22,12.871656346296296,77.56905759259259
