gh7,impact,pred_full
tdr0zv7,76.21995630007284,81.80436283695181
tdr0zve,75.49162418062637,76.95117865744838
tdr0zvf,68.24471959213402,77.71487828542065
tdr17n7,44.19155134741442,43.833768383578175
tdr17nu,55.18936635105608,52.9188220838718
tdr17x3,21.321922796795338,28.12044582425229
tdr1e7h,16.806263656227237,21.56033733659097
tdr1e7s,11.216314639475602,11.263179948793965
tdr1efj,51.747997086671525,55.30991135286196
tdr1efm,78.47778587035688,80.94261531396505
tdr1efy,65.60451565914057,63.039280180903816
tdr1efz,66.04151493080846,64.43814787000389
tdr1egn,58.120903131828115,57.29629486469796
tdr1eyx,84.10415149308085,85.03466560042114
tdr1eyz,95.97596504005827,95.79534166295205
tdr1ez6,58.958485069191546,60.695110397215196
tdr1ez9,70.46613255644574,70.65750473977873
tdr1ezd,58.867443554260745,59.832614695285855
tdr1ezp,92.88055353241079,91.74290132294553
tdr1g5g,35.87035688273853,27.265832653590017
tdr1g9r,64.79424617625638,63.977204333469274
tdr1gcb,53.00436999271668,45.18647047428374
tdr1gq3,7.119446467589221,13.865247240646324
tdr1gsd,54.71595047341587,53.593868180014994
tdr1gse,63.74726875455208,69.6937983479157
tdr1gsu,70.40240349599416,72.12377523877625
tdr1gsv,51.456664238892934,51.92808045656571
tdr1gsx,50.78295702840495,51.518058924598876
tdr1gup,39.73051711580481,35.715478158325155
tdr1gur,53.05899490167516,54.694992334396964
tdr1hjr,32.19227967953387,35.763336356421085
tdr1hjx,25.491624180626367,18.53360476333163
tdr1hrn,30.18936635105608,31.178433831925236
tdr1hrx,47.013838310269485,49.38681059490953
tdr1hxc,54.46103423160962,52.62644263581748
tdr1jsd,25.036416605972324,22.98379608399916
tdr1jxq,49.63583394027676,46.52905987074558
tdr1jxz,61.54406409322652,60.259632998452545
tdr1k84,34.10415149308085,37.302714249693324
tdr1k8d,23.652585579024034,20.22972655754962
tdr1k9m,23.488710852148582,17.606798213015505
tdr1kfn,46.74071376547706,47.657482752981
tdr1kfp,49.32629278951202,50.43098182502264
tdr1kfq,51.711580480699205,52.78896418517265
tdr1kfr,52.84049526584123,52.23482765994895
tdr1kfx,53.44136926438456,57.253185122007494
tdr1kmc,60.9340859431901,63.961229636506395
tdr1kt2,61.14348142753096,54.76518679896511
tdr1kte,71.06700655498908,70.17615784651403
tdr1kwn,89.89439184268026,75.48924668236235
tdr1kwr,90.38601602330662,88.93809745732344
tdr1kxb,43.13546977421704,52.027459462907736
tdr1m55,21.04879825200291,23.47830539473971
tdr1m57,32.95702840495266,31.52457425060455
tdr1m8p,53.27749453750911,49.089820697158366
tdr1m9p,23.142753095411507,24.740399396679628
tdr1mb0,50.68281136198106,53.18243588221487
tdr1mc3,3.5142024763292063,9.415646801765652
tdr1mg1,36.01602330662782,42.337588160603
tdr1mg3,34.796067006554985,38.63812843984654
tdr1mg6,36.10706482155863,37.70261694838099
tdr1mjx,34.304442825928625,33.05265346596354
tdr1mnq,59.48652585579024,57.863822688853894
tdr1mnr,50.34595775673707,50.10170477003152
tdr1mny,47.57829570284049,44.96043035401374
tdr1mpp,67.45265841223598,64.1457752326703
tdr1mpr,78.04078659868901,71.87677493748753
tdr1mpx,78.71449380917699,71.67853243962298
tdr1mq6,15.112891478514204,15.830386273257687
tdr1mqr,48.59796067006555,44.037486628819224
tdr1mr6,46.30371449380918,49.815684256004765
tdr1mr7,45.59359067734887,49.32296889503349
tdr1mrd,65.91405680990532,65.11558953080933
tdr1mry,17.680262199563003,24.26342060385268
tdr1ms2,52.38528769118717,51.615015746020575
tdr1mst,26.474872541879098,26.441400120846048
tdr1msw,13.7836853605244,20.948264976242328
tdr1mt0,42.22505462490896,37.92718107649562
tdr1mt2,34.37727603787327,31.097805031860993
tdr1mte,34.2680262199563,27.8588038468864
tdr1mts,42.86234522942462,38.084373628081856
tdr1mvd,72.12308812818645,72.06418138395507
tdr1mve,72.63292061179898,70.99870737857917
tdr1mvf,69.90167516387473,70.48350641534148
tdr1mvg,65.69555717407137,69.38943610201413
tdr1mvu,62.4544792425346,63.414404622946265
tdr1mw3,58.621631463947566,54.99242353694849
tdr1mw8,67.9169701383831,68.07190564198375
tdr1mwb,67.17042971595048,61.378546461144204
tdr1mx0,65.18572469045884,59.31455332874111
tdr1mx2,50.68281136198106,48.86437122510797
tdr1mxq,84.95994173343044,88.79617108455092
tdr1mxr,87.14493809176986,88.27173109296675
tdr1myv,59.013109978150034,62.18190390689877
tdr1myy,56.418426802621994,61.9650187626735
tdr1myz,61.234522942461766,65.42750176467005
tdr1mz2,80.51711580480699,85.3329987905913
tdr1mz8,89.18426802621995,92.65540650736257
tdr1ncd,88.82010196649672,91.21005656641482
tdr1nce,86.47123088128187,89.93577025184416
tdr1ncf,87.23597960670065,87.36483748543495
tdr1ncg,77.20320466132556,78.31325854453178
